,title,title_link,area,level,school,end_date,office_name,keyword
58,채용 공고 제목 59,http://www.saramin.co.kr/,서울 송파구,경력무관,대졸↑,2020.9.30,office_name59,"솔루션업체, 소프트웨어개발, C·C++"
59,채용 공고 제목 60,http://www.saramin.co.kr/,서울 양천구,경력무관,학력무관,2020.9.19,office_name60,"SI·시스템통합, DataMining, DBMS 외"
60,채용 공고 제목 61,http://www.saramin.co.kr/,서울 강남구,경력 2~3년,초대졸↑,2020.10.27,office_name61,"인터넷교육, 인터넷생활정보, 커뮤니티 외"
61,채용 공고 제목 62,http://www.saramin.co.kr/,경기 수원시 영통구,경력 5~10년,초대졸↑,2020.10.26,office_name62,"기타제조업, SW(소프트웨어)"
62,채용 공고 제목 63,http://www.saramin.co.kr/,서울 종로구,경력,초대졸↑,상시,office_name63,"IT학원, 컴퓨터·IT강사"
63,채용 공고 제목 64,http://www.saramin.co.kr/,서울 강남구,경력 5~13년,대졸↑,2020.9.24,office_name64,"서치펌, 빅데이터, Hadoop 외"
64,채용 공고 제목 65,http://www.saramin.co.kr/,서울 서초구,경력 3~8년,대졸↑,2020.10.19,office_name65,"소프트웨어개발, Linux, C·C++ 외"
65,채용 공고 제목 66,http://www.saramin.co.kr/,서울 영등포구,경력무관,학력무관,2020.10.18,office_name66,"소프트웨어개발, VisualC·C++, C·C++ 외"
66,채용 공고 제목 67,http://www.saramin.co.kr/,전북 전주시 덕진구,경력3년↑,대졸↑,2020.9.7,office_name67,"SI·시스템통합, 소프트웨어개발, 농약·비료·사료 외"
67,채용 공고 제목 68,http://www.saramin.co.kr/,인천 연수구,신입·경력,학력무관,2020.9.4,office_name68,"솔루션업체, 소프트웨어개발, Linux 외"
68,채용 공고 제목 69,http://www.saramin.co.kr/,서울 관악구,경력무관,석사↑,2020.9.6,office_name69,"솔루션업체, 소프트웨어개발, 프론트엔드 외"
69,채용 공고 제목 70,http://www.saramin.co.kr/,서울 구로구,신입·경력,학력무관,2020.9.13,office_name70,"취업포털, 응용프로그램개발"
70,채용 공고 제목 71,http://www.saramin.co.kr/,서울 강남구,경력무관,석사↑,2020.10.12,office_name71,"연구소, 통계, 정보통신·IT 외"
71,채용 공고 제목 72,http://www.saramin.co.kr/,경기 화성시,경력2년↑,대졸↑,2020.9.5,office_name72,"기계, 기계설비, 마케팅전략·기획 외"
72,채용 공고 제목 73,http://www.saramin.co.kr/,서울 마포구,경력무관,대졸↑,2020.10.20,office_name73,"DW, DataMining, 소프트웨어개발 외"
73,채용 공고 제목 74,http://www.saramin.co.kr/,서울 마포구,경력무관,초대졸↑,2020.10.23,office_name74,"DW, DataMining, 소프트웨어개발 외"
74,채용 공고 제목 75,http://www.saramin.co.kr/,서울 구로구,경력무관,학력무관,2020.10.26,office_name75,"소프트웨어개발, 인공지능(AI), 머신러닝 외"
75,채용 공고 제목 76,http://www.saramin.co.kr/,대전 유성구,경력무관,학력무관,2020.9.25,office_name76,"DataMining, 소프트웨어개발, Java·JSP 외"
76,채용 공고 제목 77,http://www.saramin.co.kr/,서울 구로구,신입·경력,대졸↑,채용시,office_name77,"SI·시스템통합, 시스템관리, 솔루션업체 외"
77,채용 공고 제목 78,http://www.saramin.co.kr/,충남 천안시 서북구,신입·경력,고졸↑,2020.9.4,office_name78,"소프트웨어개발, C·C++, MFC 외"
78,채용 공고 제목 79,http://www.saramin.co.kr/,서울 서초구,경력무관,대졸↑,채용시,office_name79,"소프트웨어개발, 인공지능(AI), 머신러닝 외"
79,채용 공고 제목 80,http://www.saramin.co.kr/,서울 강남구,경력3년↑,학력무관,2020.9.7,office_name80,"물류업, 인공지능(AI), 빅데이터 외"
80,채용 공고 제목 81,http://www.saramin.co.kr/,서울 강남구,경력 3~15년,대졸↑,2020.9.26,office_name81,"기계설계, 메카트로닉스, 인공지능(AI)"
81,채용 공고 제목 82,http://www.saramin.co.kr/,서울 마포구,신입·경력,대졸↑,2020.8.30,office_name82,"보안, 보안컨설팅, 네트워크보안 외"
82,채용 공고 제목 83,http://www.saramin.co.kr/,경기 성남시 분당구,경력3년↑,학력무관,2020.9.11,office_name83,"전자, 빅데이터, 머신러닝 외"
83,채용 공고 제목 84,http://www.saramin.co.kr/,서울 마포구,경력무관,학력무관,2020.10.2,office_name84,"SI·시스템통합, 솔루션업체, 소프트웨어개발 외"
84,채용 공고 제목 85,http://www.saramin.co.kr/,서울 금천구,경력무관,석사↑,2020.10.25,office_name85,"솔루션업체, 소프트웨어개발, 인공지능(AI) 외"
85,채용 공고 제목 86,http://www.saramin.co.kr/,경기 화성시,경력3년↑,초대졸↑,2020.9.26,office_name86,"기계설비, 기계설계, 메카트로닉스 외"
86,채용 공고 제목 87,http://www.saramin.co.kr/,경기 성남시 분당구,신입·경력,대졸↑,2020.8.30,office_name87,"소프트웨어개발, C·C++, OpenGL 외"
87,채용 공고 제목 88,http://www.saramin.co.kr/,서울 강남구,경력2년↑,대졸↑,채용시,office_name88,"IC설계, 머신러닝"
88,채용 공고 제목 89,http://www.saramin.co.kr/,서울 강남구,경력 3~15년,대졸↑,2020.9.24,office_name89,"기계설계, 메카트로닉스, 인공지능(AI) 외"
89,채용 공고 제목 90,http://www.saramin.co.kr/,서울 서초구,경력 1~7년,대졸↑,2020.8.30,office_name90,"연구소, 머신러닝"
90,채용 공고 제목 91,http://www.saramin.co.kr/,충남 아산시,신입·경력,대졸↑,2020.8.30,office_name91,"반도체, LCD, 정밀광학 외"
91,채용 공고 제목 92,http://www.saramin.co.kr/,서울 강남구,경력2년↑,석사↑,2020.9.8,office_name92,"소프트웨어개발, 인공지능(AI), 머신러닝 외"
92,채용 공고 제목 93,http://www.saramin.co.kr/,대전 유성구,신입,대졸↑,2020.10.24,office_name93,"의약·제약, 인공지능(AI), 빅데이터 외"
93,채용 공고 제목 94,http://www.saramin.co.kr/,서울 강남구,경력5년↑,학력무관,2020.10.20,office_name94,"게임개발, 모델링, 빅데이터 외"
94,채용 공고 제목 95,http://www.saramin.co.kr/,서울 강남구,경력15년↑,대졸↑,2020.9.25,office_name95,"솔루션업체, 소프트웨어개발, SW(소프트웨어) 외"
95,채용 공고 제목 96,http://www.saramin.co.kr/,경기 수원시 영통구,경력무관,대졸↑,2020.10.10,office_name96,"바이오, 생명공학, 식품가공·개발 외"
96,채용 공고 제목 97,http://www.saramin.co.kr/,대전 유성구,경력무관,석사↑,2020.9.24,office_name97,"의약·제약, 인공지능(AI), 빅데이터 외"
97,채용 공고 제목 98,http://www.saramin.co.kr/,서울 서초구,신입·경력,대졸↑,채용시,office_name98,"SI·시스템통합, DataMining, 시스템관리 외"
98,채용 공고 제목 99,http://www.saramin.co.kr/,서울 마포구,경력10년↑,석사↑,채용시,office_name99,"소프트웨어개발, 조직관리, 변화관리 외"
99,채용 공고 제목 100,http://www.saramin.co.kr/,서울전체,경력무관,학력무관,2020.8.31,office_name100,"SI·시스템통합, ERP, 솔루션업체 외"
